"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 01 16:50:15 GMT 2025","Tue Apr 01 16:50:18 GMT 2025","2778","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithTheSameName","User should not be able to create 'build type' with the same name in one project",""
"broken","Tue Apr 01 16:49:56 GMT 2025","Tue Apr 01 16:50:10 GMT 2025","13876","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Tue Apr 01 16:50:10 GMT 2025","Tue Apr 01 16:50:10 GMT 2025","4","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Tue Apr 01 16:48:49 GMT 2025","Tue Apr 01 16:49:43 GMT 2025","53786","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"broken","Tue Apr 01 16:50:10 GMT 2025","Tue Apr 01 16:50:15 GMT 2025","4991","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create 'build type' in created project",""
