"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Mar 28 03:10:16 GMT 2025","Fri Mar 28 03:11:42 GMT 2025","85540","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Mar 28 03:11:55 GMT 2025","Fri Mar 28 03:12:04 GMT 2025","9115","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithTheSameName","User should not be able to create 'build type' with the same name in one project",""
"passed","Fri Mar 28 03:11:42 GMT 2025","Fri Mar 28 03:11:42 GMT 2025","3","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Fri Mar 28 03:11:42 GMT 2025","Fri Mar 28 03:11:55 GMT 2025","12261","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create 'build type' in created project",""
"passed","Fri Mar 28 03:09:14 GMT 2025","Fri Mar 28 03:10:07 GMT 2025","52940","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
