"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 01 17:14:20 GMT 2025","Tue Apr 01 17:15:20 GMT 2025","59181","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Tue Apr 01 17:15:20 GMT 2025","Tue Apr 01 17:15:20 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"skipped","Tue Apr 01 17:15:37 GMT 2025","Tue Apr 01 17:15:37 GMT 2025","0","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithTheSameName","User should not be able to create 'build type' with the same name in one project",""
"failed","Tue Apr 01 17:15:37 GMT 2025","Tue Apr 01 17:15:37 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","afterTest","afterTest",""
"passed","Tue Apr 01 17:13:13 GMT 2025","Tue Apr 01 17:14:07 GMT 2025","53365","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Tue Apr 01 17:15:20 GMT 2025","Tue Apr 01 17:15:36 GMT 2025","16116","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create 'build type' in created project",""
