"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 02 06:44:45 GMT 2025","Wed Apr 02 06:45:00 GMT 2025","14301","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create 'build type' in created project",""
"passed","Wed Apr 02 06:42:37 GMT 2025","Wed Apr 02 06:43:30 GMT 2025","53402","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Wed Apr 02 06:44:45 GMT 2025","Wed Apr 02 06:44:45 GMT 2025","2","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Wed Apr 02 06:43:44 GMT 2025","Wed Apr 02 06:44:45 GMT 2025","60634","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Wed Apr 02 06:45:00 GMT 2025","Wed Apr 02 06:45:12 GMT 2025","12025","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithTheSameName","User should not be able to create 'build type' with the same name in one project",""
